par_type,team_id,team_name,par_name,par_value,impact_on_baseline_probability,empirical_probability
global,global,global,global_breakpoint,-0.6853314720042263,0.3350724139620384,0.3412660637791528
team,6727,Belluno Volley,breakpoint_team_adjustment,0.08878544443274396,0.020061891235755136,0.3703071672354949
team,6727,Belluno Volley,sideout_team_adjustment,0.16826685021225007,-0.03639384145423141,0.2964352720450281
team,6727,Belluno Volley,breakpoint_pos_1,0.12329595558376036,0.028004197474850112,0.4727272727272727
team,6727,Belluno Volley,breakpoint_pos_2,-0.0626526323405743,-0.013811700996916643,0.3068181818181818
team,6727,Belluno Volley,breakpoint_pos_3,-0.09936489505534483,-0.02176381879968209,0.2839506172839506
team,6727,Belluno Volley,breakpoint_pos_4,-0.006967903173599676,-0.0015506528189463964,0.38317757009345793
team,6727,Belluno Volley,breakpoint_pos_5,0.016513310514143814,0.003689110738608392,0.36538461538461536
team,6727,Belluno Volley,breakpoint_pos_6,0.02917616447161464,0.006531382500529759,0.375
team,6727,Belluno Volley,sideout_pos_1,0.02895186073226248,-0.006419341979413351,0.2839506172839506
team,6727,Belluno Volley,sideout_pos_2,0.005153945367335591,-0.0011473155242451294,0.3068181818181818
team,6727,Belluno Volley,sideout_pos_3,0.08469786516254665,-0.01859965388249496,0.2375
team,6727,Belluno Volley,sideout_pos_4,-0.01675142548747123,0.0037424510532115818,0.32608695652173914
team,6727,Belluno Volley,sideout_pos_5,0.063132216136772,-0.013916266365627372,0.2608695652173913
team,6727,Belluno Volley,sideout_pos_6,-0.16518446191144548,0.037745444490848545,0.35
team,6728,CUS Cagliari,breakpoint_team_adjustment,-0.13044637009463772,-0.028411772858467244,0.2926829268292683
team,6728,CUS Cagliari,sideout_team_adjustment,-0.03600255826854062,0.00806836705093572,0.36585365853658536
team,6728,CUS Cagliari,breakpoint_pos_1,0.07935692946790453,0.01790559116124585,0.3375
team,6728,CUS Cagliari,breakpoint_pos_2,0.03852739854157772,0.00863767906286722,0.3148148148148148
team,6728,CUS Cagliari,breakpoint_pos_3,0.05188792394545284,0.01165772034256568,0.3275862068965517
team,6728,CUS Cagliari,breakpoint_pos_4,-0.018460032813601947,-0.004100274839321072,0.25396825396825395
team,6728,CUS Cagliari,breakpoint_pos_5,0.00826532835620147,0.001844009214325426,0.2891566265060241
