par_type,team_id,team_name,par_name,par_value,impact_on_baseline_probability,empirical_probability
global,global,global,global_serve,-0.771522897470775,0.31614976506767833,0.3389830508474576
team,6727,Belluno Volley,serve_team_adjustment,0.0414123947228643,0.009020713751027032,0.3862433862433862
team,6727,Belluno Volley,receive_team_adjustment,-0.22926725136763168,-0.047363668022603944,0.28484848484848485
team,6727,Belluno Volley,serve_pos_1,0.5821811144806481,0.13665569990712573,0.5952380952380952
team,6727,Belluno Volley,serve_pos_2,-0.5013520194766137,-0.09738425412345464,0.17391304347826086
team,6727,Belluno Volley,serve_pos_3,0.05130864448335987,0.011196039640933853,0.375
team,6727,Belluno Volley,serve_pos_4,-0.22750110458033299,-0.04701640758531722,0.3
team,6727,Belluno Volley,serve_pos_5,-0.10869692210624095,-0.023017536107273695,0.3225806451612903
team,6727,Belluno Volley,serve_pos_6,0.20406028719917962,0.04567275512813218,0.41935483870967744
team,6727,Belluno Volley,receive_pos_1,0.12134509637119129,0.026799706305988436,0.2916666666666667
team,6727,Belluno Volley,receive_pos_2,-0.09655262104098097,-0.02049486077351126,0.24
team,6727,Belluno Volley,receive_pos_3,-0.26913419456780086,-0.055126537603936376,0.2
team,6727,Belluno Volley,receive_pos_4,0.42931015638478126,0.0991223110646029,0.4117647058823529
team,6727,Belluno Volley,receive_pos_5,-0.37199110497138926,-0.07447399481760936,0.19230769230769232
team,6727,Belluno Volley,receive_pos_6,0.18702266782419855,0.04174798451738354,0.3225806451612903
team,6736,Personal Time San DonÃ  di Piave,serve_team_adjustment,-0.43517128997539795,-0.08586326607356223,0.189873417721519
team,6736,Personal Time San DonÃ  di Piave,receive_team_adjustment,0.041915931380613926,0.009131216861097191,0.3673469387755102
team,6736,Personal Time San DonÃ  di Piave,serve_pos_1,0.022679063857283622,0.004923510795683317,0.15384615384615385
team,6736,Personal Time San DonÃ  di Piave,serve_pos_2,0.20696266384794276,0.04634320257442143,0.25
team,6736,Personal Time San DonÃ  di Piave,serve_pos_3,0.2968335554633463,0.0673571764250736,0.3076923076923077
team,6736,Personal Time San DonÃ  di Piave,serve_pos_4,-0.04687030296555896,-0.010044919816221853,0.08333333333333333
team,6736,Personal Time San DonÃ  di Piave,serve_pos_5,0.14375676316004174,0.03186746739267876,0.25
team,6736,Personal Time San DonÃ  di Piave,serve_pos_6,-0.6233617433630554,-0.11752066845859704,0.07692307692307693
team,6736,Personal Time San DonÃ  di Piave,receive_pos_1,0.2293599414201224,0.051534802100551114,0.42857142857142855
team,6736,Personal Time San DonÃ  di Piave,receive_pos_2,0.07127991255257903,0.015608592081578665,0.35714285714285715
team,6736,Personal Time San DonÃ  di Piave,receive_pos_3,0.38169135850941804,0.08760808985871521,0.6
team,6736,Personal Time San DonÃ  di Piave,receive_pos_4,-0.3065559131988449,-0.06228000901941494,0.1
team,6736,Personal Time San DonÃ  di Piave,receive_pos_5,-0.07551534457889719,-0.016095242386085395,0.2777777777777778
team,6736,Personal Time San DonÃ  di Piave,receive_pos_6,-0.3002599547043774,-0.061085582202909494,0.26666666666666666
team,6747,Sav Trebaseleghe,serve_team_adjustment,0.39375889525253366,0.09051654047175206,0.37209302325581395
team,6747,Sav Trebaseleghe,receive_team_adjustment,0.18735131998701776,0.04182351459541411,0.4065934065934066
team,6747,Sav Trebaseleghe,serve_pos_1,0.1416053348301977,0.03137946539551145,0.47368421052631576
team,6747,Sav Trebaseleghe,serve_pos_2,-0.09990727825863686,-0.021192965720061796,0.3333333333333333
team,6747,Sav Trebaseleghe,serve_pos_3,-0.362671311547749,-0.0727618597750484,0.18181818181818182
team,6747,Sav Trebaseleghe,serve_pos_4,-0.15774193426900676,-0.033075877059373704,0.2727272727272727
team,6747,Sav Trebaseleghe,serve_pos_5,-0.0055801023104294755,-0.0012051735293837629,0.4375
team,6747,Sav Trebaseleghe,serve_pos_6,0.48429529155562445,0.11253296504223159,0.4117647058823529
team,6747,Sav Trebaseleghe,receive_pos_1,-0.1887764151302437,-0.03933149355904375,0.2857142857142857
team,6747,Sav Trebaseleghe,receive_pos_2,0.0653791995862887,0.014301736165393875,0.4444444444444444
team,6747,Sav Trebaseleghe,receive_pos_3,-0.03512273327969948,-0.007544013370630875,0.4666666666666667
team,6747,Sav Trebaseleghe,receive_pos_4,-0.13864209439530314,-0.0291836890725099,0.2727272727272727
team,6747,Sav Trebaseleghe,receive_pos_5,0.0160651031796947,0.0034834744824889796,0.4666666666666667
team,6747,Sav Trebaseleghe,receive_pos_6,0.281096940039263,0.0636434630386592,0.4444444444444444
