par_type,team_id,team_name,par_name,par_value,impact_on_baseline_probability,empirical_probability
global,global,global,global_breakpoint,-0.727622451245532,0.32571668080858257,0.3358904109589041
team,6727,Belluno Volley,breakpoint_team_adjustment,0.10301680477228391,0.023018014284524935,0.3752535496957404
team,6727,Belluno Volley,sideout_team_adjustment,0.2939409012284679,-0.06099369049972375,0.2777777777777778
team,6727,Belluno Volley,breakpoint_pos_1,0.31712214062759964,0.07307548131179037,0.5154639175257731
team,6727,Belluno Volley,breakpoint_pos_2,-0.19666214745487448,-0.041630998064436986,0.2647058823529412
team,6727,Belluno Volley,breakpoint_pos_3,-0.09770684270090742,-0.021083109624945973,0.3055555555555556
team,6727,Belluno Volley,breakpoint_pos_4,0.02006007469527002,0.004421008614038047,0.4105263157894737
team,6727,Belluno Volley,breakpoint_pos_5,-0.0980952936612591,-0.021165389707362314,0.3170731707317073
team,6727,Belluno Volley,breakpoint_pos_6,0.055282068494171346,0.012256307381349918,0.379746835443038
team,6727,Belluno Volley,sideout_pos_1,-0.028906061351418773,0.00638020132224304,0.2878787878787879
team,6727,Belluno Volley,sideout_pos_2,0.00894741074324467,-0.00196200537941138,0.27941176470588236
team,6727,Belluno Volley,sideout_pos_3,0.15449304286787793,-0.032977092372313055,0.203125
team,6727,Belluno Volley,sideout_pos_4,-0.054855803755293135,0.01216093840757948,0.3157894736842105
team,6727,Belluno Volley,sideout_pos_5,0.12227683543126316,-0.026262695937848357,0.22666666666666666
team,6727,Belluno Volley,sideout_pos_6,-0.20195542393567384,0.04581137004012126,0.3373493975903614
team,6731,ErmGroup Altotevere San Giustino,breakpoint_team_adjustment,-0.10190496367621522,-0.021971675731152496,0.2222222222222222
team,6731,ErmGroup Altotevere San Giustino,sideout_team_adjustment,0.04024811755948684,-0.008776755903575295,0.36082474226804123
team,6731,ErmGroup Altotevere San Giustino,breakpoint_pos_1,-0.07284771470270336,-0.015791726007307938,0.14285714285714285
team,6731,ErmGroup Altotevere San Giustino,breakpoint_pos_2,0.0477689767798448,0.010577325552735217,0.3076923076923077
team,6731,ErmGroup Altotevere San Giustino,breakpoint_pos_3,0.05044940408597485,0.011175860139131133,0.3076923076923077
team,6731,ErmGroup Altotevere San Giustino,breakpoint_pos_4,-0.011511837424318182,-0.0025232008152825114,0.16666666666666666
team,6731,ErmGroup Altotevere San Giustino,breakpoint_pos_5,-0.010614018664718594,-0.002326781263096045,0.21428571428571427
team,6731,ErmGroup Altotevere San Giustino,breakpoint_pos_6,-0.003244810074079509,-0.0007122390582591787,0.2
team,6731,ErmGroup Altotevere San Giustino,sideout_pos_1,0.10525376790741411,-0.022679428357761988,0.29411764705882354
team,6731,ErmGroup Altotevere San Giustino,sideout_pos_2,0.07171400865711677,-0.015549206386245795,0.375
team,6731,ErmGroup Altotevere San Giustino,sideout_pos_3,0.1774767264796974,-0.03771293779398521,0.25
team,6731,ErmGroup Altotevere San Giustino,sideout_pos_4,0.0976671702687604,-0.021074705670811045,0.2857142857142857
team,6731,ErmGroup Altotevere San Giustino,sideout_pos_5,0.1722768489501913,-0.03664548915327609,0.16666666666666666
team,6731,ErmGroup Altotevere San Giustino,sideout_pos_6,-0.62438852226318,0.14849773315300585,0.5769230769230769
team,6732,Gabbiano FarmaMed Mantova,breakpoint_team_adjustment,-0.06964842536764074,-0.015107073514579905,0.31746031746031744
team,6732,Gabbiano FarmaMed Mantova,sideout_team_adjustment,0.09790996429076938,-0.021126135561586157,0.31496062992125984
team,6732,Gabbiano FarmaMed Mantova,breakpoint_pos_1,-0.0798900251262612,-0.017295855744973776,0.25
team,6732,Gabbiano FarmaMed Mantova,breakpoint_pos_2,-0.06553118396121674,-0.014224756591337095,0.28205128205128205
team,6732,Gabbiano FarmaMed Mantova,breakpoint_pos_3,-0.0037784856944678823,-0.0008293040415519037,0.3181818181818182
team,6732,Gabbiano FarmaMed Mantova,breakpoint_pos_4,0.1290416393025816,0.028951767904103698,0.41818181818181815
team,6732,Gabbiano FarmaMed Mantova,breakpoint_pos_5,-0.07112396581256758,-0.015422944549014161,0.25
team,6732,Gabbiano FarmaMed Mantova,breakpoint_pos_6,0.09128202129193178,0.02035757723370618,0.3333333333333333
team,6732,Gabbiano FarmaMed Mantova,sideout_pos_1,0.03431575175728071,-0.007491071454435894,0.25
team,6732,Gabbiano FarmaMed Mantova,sideout_pos_2,-0.03923480231925078,0.008675163892627347,0.3181818181818182
team,6732,Gabbiano FarmaMed Mantova,sideout_pos_3,-0.16765023379678465,0.03783720728049533,0.3958333333333333
team,6732,Gabbiano FarmaMed Mantova,sideout_pos_4,-0.0431089570519377,0.009538002282062474,0.3181818181818182
team,6732,Gabbiano FarmaMed Mantova,sideout_pos_5,-0.16192590790626402,0.03651373600951646,0.36363636363636365
team,6732,Gabbiano FarmaMed Mantova,sideout_pos_6,0.3776041493169564,-0.07695481242767721,0.20588235294117646
team,6734,Monge Gerbaudo Savigliano,breakpoint_team_adjustment,-0.09026886021150379,-0.01950522162184748,0.2903225806451613
team,6734,Monge Gerbaudo Savigliano,sideout_team_adjustment,-0.13711469757126027,0.03080167970916836,0.3668639053254438
team,6734,Monge Gerbaudo Savigliano,breakpoint_pos_1,0.04622399845858464,0.010232573118447053,0.23809523809523808
team,6734,Monge Gerbaudo Savigliano,breakpoint_pos_2,0.09328296142180835,0.020810543084105126,0.3333333333333333
team,6734,Monge Gerbaudo Savigliano,breakpoint_pos_3,0.26830782551671134,0.061431745468194854,0.4838709677419355
team,6734,Monge Gerbaudo Savigliano,breakpoint_pos_4,-0.015598536934516134,-0.0034164765525986907,0.24
team,6734,Monge Gerbaudo Savigliano,breakpoint_pos_5,-0.04945922748902014,-0.010767489140467656,0.21428571428571427
team,6734,Monge Gerbaudo Savigliano,breakpoint_pos_6,-0.3427570209735681,-0.07038575506080952,0.19230769230769232
team,6734,Monge Gerbaudo Savigliano,sideout_pos_1,-0.024947371766569228,0.0055027145438262814,0.39285714285714285
team,6734,Monge Gerbaudo Savigliano,sideout_pos_2,0.08250958353415139,-0.01785432020788208,0.3181818181818182
team,6734,Monge Gerbaudo Savigliano,sideout_pos_3,0.07298710128341061,-0.015821536031392247,0.30434782608695654
team,6734,Monge Gerbaudo Savigliano,sideout_pos_4,-0.021353494687894204,0.004707107117474185,0.4074074074074074
team,6734,Monge Gerbaudo Savigliano,sideout_pos_5,0.06818041318405761,-0.014792638822908266,0.3225806451612903
team,6734,Monge Gerbaudo Savigliano,sideout_pos_6,-0.17737623154715618,0.04009060521555996,0.42105263157894735
team,6736,Personal Time San DonÃ  di Piave,breakpoint_team_adjustment,-0.05895200827522077,-0.012812008582976653,0.3279569892473118
team,6736,Personal Time San DonÃ  di Piave,sideout_team_adjustment,0.05270257961884691,-0.011466842111686304,0.336
team,6736,Personal Time San DonÃ  di Piave,breakpoint_pos_1,0.0629918766857441,0.013983504797140445,0.36231884057971014
team,6736,Personal Time San DonÃ  di Piave,breakpoint_pos_2,0.005275645261347533,0.0011597289342801242,0.3333333333333333
team,6736,Personal Time San DonÃ  di Piave,breakpoint_pos_3,-0.047781294040287116,-0.010405352238900933,0.3090909090909091
team,6736,Personal Time San DonÃ  di Piave,breakpoint_pos_4,-0.16361885490925598,-0.03486294895238712,0.22641509433962265
team,6736,Personal Time San DonÃ  di Piave,breakpoint_pos_5,0.1421735958615416,0.03196309738796038,0.39705882352941174
team,6736,Personal Time San DonÃ  di Piave,breakpoint_pos_6,0.0009590311409098662,0.0002106627203535827,0.3125
team,6736,Personal Time San DonÃ  di Piave,sideout_pos_1,-0.13714132050273278,0.03080778737958595,0.4
team,6736,Personal Time San DonÃ  di Piave,sideout_pos_2,-0.030425178402222128,0.006717240363818211,0.3333333333333333
team,6736,Personal Time San DonÃ  di Piave,sideout_pos_3,0.013218919433110494,-0.0028964942433636343,0.35
team,6736,Personal Time San DonÃ  di Piave,sideout_pos_4,-0.12315871466757886,0.02760644562127873,0.3559322033898305
team,6736,Personal Time San DonÃ  di Piave,sideout_pos_5,0.04533931563984822,-0.009877915676091031,0.2833333333333333
team,6736,Personal Time San DonÃ  di Piave,sideout_pos_6,0.23216697849957507,-0.048796324279108516,0.27586206896551724
team,6747,Sav Trebaseleghe,breakpoint_team_adjustment,0.2576574641672884,0.058907849922726796,0.3649122807017544
team,6747,Sav Trebaseleghe,sideout_team_adjustment,-0.16669516797087525,0.03761625061239243,0.4
team,6747,Sav Trebaseleghe,breakpoint_pos_1,0.11918894266188353,0.02669993773878443,0.43548387096774194
team,6747,Sav Trebaseleghe,breakpoint_pos_2,-0.050073496718656255,-0.010900006466662449,0.35
team,6747,Sav Trebaseleghe,breakpoint_pos_3,-0.1884141721165423,-0.03995053339059507,0.23684210526315788
team,6747,Sav Trebaseleghe,breakpoint_pos_4,0.020990306032512396,0.004626758789296415,0.36363636363636365
team,6747,Sav Trebaseleghe,breakpoint_pos_5,0.005496349641693772,0.0012082919821397864,0.375
team,6747,Sav Trebaseleghe,breakpoint_pos_6,0.09281207049910886,0.020703919375393343,0.37735849056603776
team,6747,Sav Trebaseleghe,sideout_pos_1,0.008177163424820501,-0.0017933464036890001,0.37735849056603776
team,6747,Sav Trebaseleghe,sideout_pos_2,0.0035722483304773426,-0.0007840672183769826,0.3877551020408163
team,6747,Sav Trebaseleghe,sideout_pos_3,-0.042913905359313796,0.009494534657608633,0.4489795918367347
team,6747,Sav Trebaseleghe,sideout_pos_4,0.0295518991210127,-0.006456621354385295,0.37777777777777777
team,6747,Sav Trebaseleghe,sideout_pos_5,-0.05436886545647873,0.012052010957932346,0.42
team,6747,Sav Trebaseleghe,sideout_pos_6,0.05598145993948199,-0.012172999862888445,0.3888888888888889
team,6750,Stadium Mirandola,breakpoint_team_adjustment,-0.0399000114089918,-0.008701389946175753,0.3155080213903743
team,6750,Stadium Mirandola,sideout_team_adjustment,-0.18099169715543545,0.040929771677261584,0.35353535353535354
team,6750,Stadium Mirandola,breakpoint_pos_1,0.16225292523379614,0.036589286805852494,0.41025641025641024
team,6750,Stadium Mirandola,breakpoint_pos_2,-0.02468696514095664,-0.0053983818882489265,0.22727272727272727
team,6750,Stadium Mirandola,breakpoint_pos_3,-0.019373337810660755,-0.0042404253958072124,0.24
team,6750,Stadium Mirandola,breakpoint_pos_4,0.006500425933741432,0.0014292723684459774,0.27586206896551724
team,6750,Stadium Mirandola,breakpoint_pos_5,0.2038489631423797,0.04625360934814288,0.425
team,6750,Stadium Mirandola,breakpoint_pos_6,-0.3285420113582999,-0.06767356790631734,0.21875
team,6750,Stadium Mirandola,sideout_pos_1,-0.08247075576613745,0.018366241041673725,0.4
